"id","label","transcription"
"5eef381b-7c3102ad.mp3","satire","Yo creo que ya lo dice la propia frase, es privado, esto cada uno que haga lo que quiera, yo no me voy a meter en temas de aviones, si es privado, pues no, puedo llegar a lo que quiera, no hagamos de magia o gea."
"3db0b886-434a22fd.mp3","no-satire","El presidente de Estados Unidos, Barack Obama, prometió un año de acción con el fin de revertir la desigualdad social e impulsar la economía en su país. Durante su discurso sobre el Estado de la Unión, Obama también defendió su programa de salud y dijo que Estados Unidos debe dejar de estar en pie de guerra."
"1e3fd1a7-dfd534d8.mp3","satire","El presidente Andrés Manuel López Obrador visitó Oaxaca para celebrar el natalicio de Benito Juárez, el único presidente que le podía decir yo lo conocí ayer desde que estaba así de chiquito. Aún lo confesó que en momentos cruciales le ha pedido consejos a Benito Juárez y Juárez le contesta."
"2f593981-4087fa79.mp3","satire","La sedición, porque inflación puede haber en cualquier momento y por cualquier cosa, pero la sedición es una barbaridad de lo que es. Y esto es una barbaridad de nuestro señor presidente del gobierno, que por estar sentado y chupando y robando y haciendo lo que le dé la gana, son gente hecha nada más que para las sanijuelas, para meter mano donde puedan."
"815c0b94-1002ecaa.mp3","no-satire","Frenar la escalada de violencia en Gaza es una de las prioridades de los 28. Los ministros han condenado los ataques con cohetes contra Israel y han pedido a Tel Aviv que actúe de manera proporcionada y garantice la protección de los civiles. Nada puede justificar los continuos ataques y masacres que provocan muchas víctimas. No hacen más que exacerbar las tensiones y el odio."
"10ccb41a-e0bb5eb1.mp3","no-satire","Fuerzas de la Policía de Alemania y Holanda arrestaron a cinco personas en un operativo contra Utopía, un sitio web que permite a los usuarios navegar sin revelar su identidad o el lugar en el que se encuentran. Utopía permitía el intercambio comercial de drogas ilícitas y armas."
"8fe533dc-a645e332.mp3","satire","Por fortuna siempre hay alguien que saca la casta y de una u otra manera encuentra cómo expresar el sentir de millones de mexicanos. En esta ocasión, y para sorpresa de muchos, fue una diputada federal de Morena. Así es, Selene Ávila, quien estuvo en el momento adecuado, en el foro correcto y encontró las palabras exactas que muchos hemos querido decir. ¡Los traidores a la patria!"
"81b24e6f-c27049cd.mp3","no-satire","Aplausos improvisados que se repiten hasta media docena de veces más, salvo por parte de Podemos y de Izquierda Unida. Estos últimos hasta se marchan del Pleno cuando el Rey va a comenzar su discurso. Felipe VI también reclama más Europa para tener una mejor unión monetaria y financiera. Y también... Estamos sobrecogidos ante el sufrimiento desgarrador de aquellos que vienen a Europa..."
"55cc83ef-db3b61de.mp3","no-satire","Incluso se puede realizar en una casa con una tela negra y dejando que las flores crezcan. Fueron nueve meses, los tres, cuatro primeros meses fueron sobre todo investigación, qué flores se abrían más rápido y cuáles podrían soportar las condiciones de estar en una habitación durante varios días metidas. A esto hay que añadirle el retoque posterior que suele ser mínimo, la imagen emociona por sí sola."
"ee2ca0e8-988a6cd2.mp3","no-satire","Mire, se le va a tomar declaración en principio, en calidad de testigo, en un procedimiento criminal que se sigue en este juzgado por un presunto delito de tráfico de influencias y un delito de corrupción en los negocios dentro del sector privado."
"8f7e5f21-d3edaf72.mp3","satire","Forzado por su familia, un nostálgico se ha decidido al fin a reciclar el botellín de cerveza que estaba bebiendo cuando Iniesta marcó el gol del Mundial. Natalio Felote llevaba desde 2010 guardando el botellín como si fuera la mismísima Copa del Mundo."
