id,task_1,task_2
5eef381b-7c3102ad,satire,satire
3db0b886-434a22fd,no-satire,no-satire
1e3fd1a7-dfd534d8,satire,satire
2f593981-4087fa79,satire,satire
815c0b94-1002ecaa,no-satire,no-satire
10ccb41a-e0bb5eb1,no-satire,no-satire
8fe533dc-a645e332,satire,satire
81b24e6f-c27049cd,no-satire,no-satire
55cc83ef-db3b61de,no-satire,no-satire
ee2ca0e8-988a6cd2,no-satire,no-satire
8f7e5f21-d3edaf72,satire,satire
f4c5f60e-ddbabd51,no-satire,no-satire
a1ac0372-8b551e38,satire,satire
475e472d-69192d79,satire,satire
057556df-a1252bf9,no-satire,no-satire
0dac83a5-031db29a,no-satire,no-satire
24cc35f2-43605f77,no-satire,no-satire
f156d316-0eb3e5f0,satire,satire
b872b1fe-5e7a47cd,satire,satire
b09f2e7d-12312b49,satire,satire
f22222b3-cdeba0a8,no-satire,no-satire
487253a9-2161eebf,no-satire,no-satire
2f0c269d-8f38f96e,no-satire,no-satire
961e455c-13eee4f5,no-satire,no-satire
7a24aaf1-7828a87e,satire,satire
3fef9899-ce9b27b5,satire,satire
e276167c-a23499c6,satire,satire
c98f76bf-e4eb8841,satire,satire
42073de1-588bb030,no-satire,no-satire
c9da93d1-ebe7bcde,no-satire,no-satire
6b99ef04-b180c302,satire,satire
7689ba78-a87fc34e,satire,satire
fa237dff-e748e3bc,satire,satire
4dc98992-979ee804,no-satire,no-satire
b9dc5297-2e558a1c,no-satire,no-satire
79bfc7b9-afa15c3b,no-satire,no-satire
122c6e08-4fa2c399,no-satire,no-satire
df3a21cf-8b5c3551,satire,satire
ff505dc2-497b0dff,no-satire,no-satire
f39b597c-d88bcbd4,no-satire,no-satire
e7ed329f-9dfb245c,satire,satire
ea21e9d0-46b712dd,satire,satire
3816b62c-7740fc3b,satire,satire
587e1f0f-c0b2e30d,no-satire,no-satire
db136d7d-c353a45f,no-satire,no-satire
2ba2ec41-db50fde2,no-satire,no-satire
fd06cc55-66a3a7d8,no-satire,no-satire
38013fe3-2b60800b,no-satire,no-satire
5a0af652-43f5d078,no-satire,no-satire
3a43cd48-52910505,no-satire,no-satire
09618d31-f6ec0d0d,no-satire,no-satire
45fdcbcd-b15a2bde,no-satire,no-satire
b6e04085-6bada811,no-satire,no-satire
116d12b2-fca157da,no-satire,no-satire
531c1684-ef341b0b,no-satire,no-satire
ad4362be-53793cb5,no-satire,no-satire
b4168710-5d5e0d82,no-satire,no-satire
57627a3b-b2577bc0,no-satire,no-satire
39350581-b6d68aee,no-satire,no-satire
f3359e4d-8ec648f1,satire,satire
274eb894-eeeabb29,no-satire,no-satire
e15e501d-a21c7797,satire,satire
2121c21e-e1fc77d9,no-satire,no-satire
fafe8b3b-d8e33322,no-satire,no-satire
e29b87d0-628166cf,satire,satire
8e40266b-112cedfe,no-satire,no-satire
954aa144-f8895dd3,no-satire,no-satire
f47ca4a0-e4dccc1d,no-satire,no-satire
b40247ed-deda4350,satire,satire
9b6e3e7b-74ff4d52,satire,satire
d501591a-181c3c0c,no-satire,no-satire
4b7b8582-09d1a7bd,satire,satire
3bf0018c-e3875c2b,no-satire,no-satire
6aa6ccee-2a7f478c,no-satire,no-satire
1b380f9f-b7d88cab,no-satire,no-satire
a46e480a-dded3269,no-satire,no-satire
7c64d6fb-6f712948,no-satire,no-satire
c07d20a5-919ef3f5,no-satire,no-satire
7c15586a-fe50fd99,no-satire,no-satire
5cb88f10-5e4848a6,satire,satire
23642315-f62d76fe,no-satire,no-satire
fb711df5-3d94453c,no-satire,no-satire
d5255be7-ccbb270a,no-satire,no-satire
140a77a1-b055e12f,no-satire,no-satire
8e24a84c-70adfc19,no-satire,no-satire
a48abb27-254496f3,satire,satire
1ccb564e-fa3fd9a8,satire,satire
dcd51c93-0afea1e8,satire,satire
2a9983a5-372b4e97,satire,satire
fc595710-8474bcd4,satire,satire
22739303-4fc782a3,no-satire,no-satire
d06036bf-9183de3e,no-satire,no-satire
bc84eff8-f49bb68a,satire,satire
f4d1588e-e68dc599,satire,satire
eeae01bc-cdb22c04,satire,satire
5c5936d3-f9d5cb43,no-satire,no-satire
c6614642-3a8cc26e,no-satire,no-satire
812418d6-9a8f504a,no-satire,no-satire
22b2e680-640539ee,no-satire,no-satire
5c75d79f-48c97069,satire,satire
7165030c-8a35d07b,satire,satire
86ae0b91-e42d0ad0,satire,satire
975ad58d-f9860955,no-satire,no-satire
1c87d5be-f4d1a601,no-satire,no-satire
9a34768f-a0973d12,satire,satire
4b0d9e22-b4ce0a88,no-satire,no-satire
c572f94c-634f328e,no-satire,no-satire
908e3c28-3291db9c,no-satire,no-satire
30588382-d5cd7c5e,no-satire,no-satire
a71ca2dd-b895daea,no-satire,no-satire
1552d5a4-7142fd40,no-satire,no-satire
89c8caaf-876868f1,no-satire,no-satire
423748dd-176a06b8,satire,satire
a7cb3963-89becac7,satire,satire
93aa3f1f-f95b3d8a,no-satire,no-satire
a83d0227-1370a505,satire,satire
20782d27-5f4c7bce,satire,satire
0fb3cf6f-b49a5bb8,satire,satire
a1f61ba0-386e0e86,no-satire,no-satire
266d6784-3390cdee,no-satire,no-satire
f5c355ba-5567a767,no-satire,no-satire
b5e75e7c-088afe39,no-satire,no-satire
cafd58bd-203a8b14,no-satire,no-satire
7d7342fd-4a02ce95,no-satire,no-satire
dc080262-53f025d3,satire,satire
e68801f4-bf5fdd45,no-satire,no-satire
a0908379-50572118,no-satire,no-satire
a1656bd0-3af4cff0,no-satire,no-satire
21abf71b-680b9d1d,no-satire,no-satire
2dd51d5f-34794b78,satire,satire
d0687638-249435c3,satire,satire
5194ba13-a4dd72fe,satire,satire
96df0d9f-fc02e50b,no-satire,no-satire
d16754a2-5ffb3325,no-satire,no-satire
3f8c7745-6cc16404,no-satire,no-satire
d0820cc0-211c2163,no-satire,no-satire
190ab92f-955b4476,satire,satire
65f2b577-3f9df296,satire,satire
ac87653c-feded95e,satire,satire
eb401293-ee264b29,satire,satire
9b28e4d5-834d0e19,no-satire,no-satire
4af8a2b1-894f82a8,no-satire,no-satire
1aa1d4ba-105c0476,no-satire,no-satire
5c1b9e5c-87d6414d,no-satire,no-satire
da1c6d5f-3b88450c,satire,satire
2d091c0a-d9804da2,satire,satire
e9bf0242-0af03b9a,no-satire,no-satire
99230654-34dc466d,satire,satire
c9cbf58c-19b18dcb,satire,satire
53a7073c-8dd518ad,satire,satire
8e59058a-092e6947,no-satire,no-satire
7ba817c7-2a02f804,no-satire,no-satire
649d7445-2bc5380f,satire,satire
3d902d08-94a2cff2,satire,satire
1216b58e-4b24946f,satire,satire
0cb84f95-f8d4a3ac,no-satire,no-satire
ecb30f05-5b9fdc0f,no-satire,no-satire
d6201dae-5861e440,no-satire,no-satire
28446aac-3ec31955,no-satire,no-satire
d1f99ca8-649c961c,satire,satire
0d522218-146cab29,satire,satire
a6b066e3-6514e703,no-satire,no-satire
d5c218b0-6e7cdf6e,no-satire,no-satire
889ade80-eed40706,no-satire,no-satire
41d1ebbf-1a9cbbdd,no-satire,no-satire
6649a1ed-e5ce2e67,satire,satire
c565a441-9f61361a,no-satire,no-satire
26feee25-0e448b7c,satire,satire
f7592379-45e4a05c,satire,satire
b1045bea-744a080f,no-satire,no-satire
1357356e-11ecdfc4,no-satire,no-satire
d5d0b3cb-e2479547,satire,satire
746216e4-4b1860cc,satire,satire
456a86b0-cdc02501,no-satire,no-satire
cb645913-62cc94a9,no-satire,no-satire
607a93b9-4a3b098e,satire,satire
aa5ebd93-fe1d97e9,satire,satire
c0dd9c47-507f327f,no-satire,no-satire
849da849-9eba04b3,satire,satire
ae811f8b-402d0bed,satire,satire
875e6fd3-873b7106,satire,satire
675df0e1-1272f0dc,no-satire,no-satire
b8d1be12-83a0fd11,no-satire,no-satire
103afbd3-98fb0aee,no-satire,no-satire
ac3ac9a1-ea0f6380,no-satire,no-satire
0f9fbd52-c9c73f2b,no-satire,no-satire
b8ff010b-bce71f06,satire,satire
54b97fad-c33c6181,no-satire,no-satire
8245aded-d9ae5890,satire,satire
5bf95e22-2d21c4a0,no-satire,no-satire
976eded3-60ddad0d,no-satire,no-satire
6d86f93f-5d951b27,satire,satire
9e7ee327-955b40e4,no-satire,no-satire
4c5c1017-d37a309e,no-satire,no-satire
f4aa4b81-e7a34d20,satire,satire
510b1049-1619ba39,no-satire,no-satire
08bbddd7-5e0d9feb,satire,satire
d20adb23-92743261,satire,satire
f8eecadc-9a438f45,satire,satire
b25421ae-ce536551,satire,satire
cb13a494-1e3b51b0,satire,satire
da30d082-5ee85e57,no-satire,no-satire
e9abfb30-60f14138,satire,satire
18f37b4d-59cda086,no-satire,no-satire
8608cd0d-98fadcae,satire,satire
5503a9cf-06d3d274,satire,satire
c24f98a6-0e1df378,no-satire,no-satire
0ea591f5-63c30aac,satire,satire
b32bbcf4-910a3daf,satire,satire
a61452d5-483da87a,no-satire,no-satire
4a59bbe8-9ff720f4,no-satire,no-satire
ca2e2d22-4d9f6b26,no-satire,no-satire
18e73981-bc8aaf56,satire,satire
d4938189-830a3390,no-satire,no-satire
1b6bc62c-fda25d61,satire,satire
5ca975e8-ce5ee429,satire,satire
9f172a77-ba9e7fe3,satire,satire
8d7737b8-2b903c97,no-satire,no-satire
36d565e7-fb755655,no-satire,no-satire
b22b5017-f213cede,no-satire,no-satire
7dce950f-a227018c,no-satire,no-satire
4c3f5cf7-38ad05f4,no-satire,no-satire
887b0093-024df21c,satire,satire
827d2742-6bb5585a,satire,satire
25be02c4-4514ca9a,no-satire,no-satire
b8b597f6-2467104f,no-satire,no-satire
4fe3b0fb-20e10462,satire,satire
035e7c0c-037fb6ec,no-satire,no-satire
e444adf0-fb13f8fb,satire,satire
da013ea7-366cc5eb,no-satire,no-satire
c818fd10-cb0fb23a,no-satire,no-satire
cd1d286c-e3faae02,satire,satire
8443f409-fe2c0677,no-satire,no-satire
808395c7-0e528d3a,no-satire,no-satire
4dfd24ac-d459c5c2,satire,satire
6042c219-90c03615,no-satire,no-satire
12cf8da8-264670b1,no-satire,no-satire
0f50c602-2b094794,satire,satire
edee6eb8-92c06c10,satire,satire
a358efe9-4dddd8e2,no-satire,no-satire
fb3d4658-1bd13b89,satire,satire
5e85ad0d-a6e29487,satire,satire
530742ce-e1948569,satire,satire
f5765284-c5dc7756,satire,satire
c4f9377f-e4216529,satire,satire
2213f36c-ed554bd3,no-satire,no-satire
b621d4bf-4f618240,no-satire,no-satire
ad7cb3a6-cce538f8,no-satire,no-satire
4c446fb4-6b32115b,no-satire,no-satire
e4679e44-22bb8aa3,no-satire,no-satire
7dbd590c-f2a39749,no-satire,no-satire
886f1eb6-fe71f7f4,no-satire,no-satire
893e7128-eaac7e85,no-satire,no-satire
1d020937-8d8bd843,no-satire,no-satire
dbaf71c5-f56bd6f7,satire,satire
512b1051-5ef2d5f1,no-satire,no-satire
66522b6d-12499262,no-satire,no-satire
e3eed9a7-004a1cea,no-satire,no-satire
a69b2117-8388de5f,no-satire,no-satire
af89ba2a-eca32291,satire,satire
ca6bda3a-3cfca4c5,satire,satire
bc2da431-7ad59f13,satire,satire
6953123c-4bd0e55a,satire,satire
4662e483-aad7f6be,satire,satire
4c2751d5-7c80cbf8,no-satire,no-satire
c88d3aee-2f4dd126,no-satire,no-satire
32747fab-6bbf39a5,satire,satire
c5d3c065-799f60b5,no-satire,no-satire
7c4a5eda-f7bb6b50,satire,satire
58eaade9-6c7fa2d3,no-satire,no-satire
c77bcf8c-18c0d7d7,no-satire,no-satire
e05ace97-52f40804,satire,satire
372b72ac-b90ebea7,satire,satire
f1b4542d-de3c8f9a,satire,satire
7d51fa02-92e85455,satire,satire
437b7bcf-42057884,satire,satire
fe5ce030-59c49cbc,no-satire,no-satire
f022e08f-c6bb45f1,satire,satire
fb6c496a-025f29b2,no-satire,no-satire
7e20eed9-b7236f4a,satire,satire
722d28c7-b68a5bd4,no-satire,no-satire
a4745e40-9e49e439,satire,satire
71bde9fc-62a64516,no-satire,no-satire
4b30e8ba-9649fd4b,no-satire,no-satire
7563c4dc-9e004b9d,satire,satire
21abb41a-8aa7b6c8,satire,satire
0ffe507f-061f93f8,no-satire,no-satire
5b3a10a2-dc6565f8,satire,satire
48a93d59-e8be2c67,satire,satire
4985d1e8-5f297b9a,satire,satire
d43d7bca-7a2ff73b,satire,satire
299f24ef-a51c4bd3,no-satire,no-satire
0f022843-96758e1d,satire,satire
37ddfe0e-dc1d22f6,no-satire,no-satire
856456cd-6b11bad7,no-satire,no-satire
a17a856e-45214074,no-satire,no-satire
3fb5b676-c6f8848f,satire,satire
84c5c6fe-3aaefb6b,no-satire,no-satire
3d87c496-73f5fbea,satire,satire
7aafa63f-8debb632,no-satire,no-satire
32d7fbe8-2c8732fa,satire,satire
7d3c60a8-257e7e9b,satire,satire
a87294a5-0f5a6f26,satire,satire
9909f9cc-5d156a2e,no-satire,no-satire
a688bfee-5f8a78f2,no-satire,no-satire
7dc10b25-18b0b44e,satire,satire
97c3eb15-868df196,no-satire,no-satire
c732fd22-29c3fc8e,no-satire,no-satire
54cbe894-5ef71d2b,satire,satire
6380d3d4-2f40d8ea,satire,satire
2b33d309-e7dd79be,no-satire,no-satire
1f0f4255-65a55a1c,satire,satire
52ca5272-1b36e6e1,satire,satire
ab2e18c4-0100df14,satire,satire
51d53b89-5954ff44,satire,satire
618629e6-6a3a637d,satire,satire
f74f0608-db6efdad,no-satire,no-satire
92594803-ca9956ec,no-satire,no-satire
2b36deb6-0a9ae15f,satire,satire
0b4e5ea9-2372f370,satire,satire
989cdefd-c0572b76,satire,satire
42d1fff3-2db5723a,satire,satire
0c2153de-f76de8b0,satire,satire
